team,season,sp_ovr,sp_plus_weighted
Ohio State,2025,29.5,4130.0
Alabama,2025,27.9,3906.0
Penn State,2025,27.7,3878.0
Georgia,2025,26.9,3766.0
Texas,2025,26.4,3696.0
Notre Dame,2025,24.9,3486.0
Oregon,2025,24.7,3458.0
Clemson,2025,23.3,3262.0
LSU,2025,22.1,3094.0
Michigan,2025,21.5,3010.0
Ole Miss,2025,19.8,2772.0
Miami,2025,18.8,2632.0
Tennessee,2025,18.4,2576.0
Florida,2025,17.3,2422.0
Texas A&M,2025,17.2,2408.0
Oklahoma,2025,16.5,2310.0
South Carolina,2025,16.1,2254.0
Kansas State,2025,15.6,2184.0
Illinois,2025,14.3,2002.0
SMU,2025,13.1,1834.0
Missouri,2025,12.5,1750.0
Arizona State,2025,12.2,1708.0
Indiana,2025,12.2,1708.0
Louisville,2025,12.1,1694.0
Auburn,2025,11.8,1652.0
Texas Tech,2025,11.8,1652.0
BYU,2025,11.5,1610.0
Iowa,2025,11.4,1596.0
TCU,2025,11.1,1554.0
USC,2025,11.0,1540.0
Utah,2025,11.0,1540.0
Iowa State,2025,11.0,1540.0
Boise State,2025,9.2,1288.0
Nebraska,2025,8.9,1246.0
Baylor,2025,7.5,1050.0
Florida State,2025,7.2,1008.0
Wisconsin,2025,7.2,1008.0
Arkansas,2025,7.0,980.0
Washington,2025,6.4,896.0
Minnesota,2025,6.0,840.0
Duke,2025,4.9,686.0
NC State,2025,4.8,672.0
Kentucky,2025,4.7,658.0
Georgia Tech,2025,4.7,658.0
Rutgers,2025,4.7,658.0
Virginia Tech,2025,4.3,602.0
Pittsburgh,2025,3.4,476.0
Tulane,2025,3.3,462.0
James Madison,2025,3.0,420.0
Kansas,2025,3.0,420.0
UCLA,2025,2.9,406.0
Colorado,2025,2.6,364.0
Memphis,2025,2.1,294.0
North Carolina,2025,2.0,280.0
Vanderbilt,2025,1.7,238.0
Syracuse,2025,1.6,224.0
West Virginia,2025,1.0,140.0
Houston,2025,0.9,126.0
Oklahoma State,2025,0.9,126.0
Arizona,2025,0.7,98.0
UCF,2025,0.4,56.0
Boston College,2025,0.3,42.0
UTSA,2025,0.0,0.0
Michigan State,2025,-0.2,-28.0
California,2025,-0.3,-42.0
Cincinnati,2025,-0.3,-42.0
nationalAverages,2025,-0.3323529411764706,-46.52941176470588
Army,2025,-0.6,-84.0
Navy,2025,-1.0,-140.0
Liberty,2025,-1.1,-154.0
Maryland,2025,-1.1,-154.0
Toledo,2025,-1.4,-196.0
Mississippi State,2025,-1.4,-196.0
Oregon State,2025,-2.4,-336.0
Louisiana,2025,-3.1,-434.0
UNLV,2025,-3.3,-462.0
South Alabama,2025,-3.4,-476.0
South Florida,2025,-3.5,-490.0
Georgia Southern,2025,-4.0,-560.0
Virginia,2025,-4.3,-602.0
Ohio,2025,-4.4,-616.0
Wake Forest,2025,-4.6,-644.0
Washington State,2025,-4.8,-672.0
San José State,2025,-5.2,-728.0
UConn,2025,-5.4,-756.0
Western Kentucky,2025,-5.8,-812.0
Troy,2025,-6.0,-840.0
Northwestern,2025,-6.1,-854.0
Stanford,2025,-6.2,-868.0
Fresno State,2025,-6.2,-868.0
East Carolina,2025,-6.6,-924.0
Buffalo,2025,-7.1,-994.0
North Texas,2025,-7.2,-1008.0
Texas State,2025,-7.2,-1008.0
Air Force,2025,-7.3,-1022.0
Coastal Carolina,2025,-7.3,-1022.0
Miami (OH),2025,-7.6,-1064.0
Colorado State,2025,-8.3,-1162.0
App State,2025,-8.8,-1232.0
Marshall,2025,-9.4,-1316.0
Arkansas State,2025,-9.9,-1386.0
Purdue,2025,-10.0,-1400.0
San Diego State,2025,-10.1,-1414.0
Old Dominion,2025,-10.2,-1428.0
Jacksonville State,2025,-10.4,-1456.0
Wyoming,2025,-10.8,-1512.0
Northern Illinois,2025,-11.0,-1540.0
Sam Houston,2025,-11.1,-1554.0
Hawai'i,2025,-11.5,-1610.0
Louisiana Tech,2025,-11.9,-1666.0
Delaware,2025,-13.0,-1820.0
Bowling Green,2025,-13.7,-1918.0
UAB,2025,-13.8,-1932.0
Eastern Michigan,2025,-14.2,-1988.0
Georgia State,2025,-14.3,-2002.0
Florida Atlantic,2025,-14.4,-2016.0
UL Monroe,2025,-14.6,-2044.0
Utah State,2025,-14.8,-2072.0
Western Michigan,2025,-14.8,-2072.0
Central Michigan,2025,-14.8,-2072.0
Tulsa,2025,-15.6,-2184.0
Rice,2025,-15.8,-2212.0
New Mexico State,2025,-16.0,-2240.0
UTEP,2025,-16.1,-2254.0
Nevada,2025,-16.3,-2282.0
Temple,2025,-16.4,-2296.0
Middle Tennessee,2025,-16.4,-2296.0
Missouri State,2025,-17.6,-2464.0
Southern Miss,2025,-17.7,-2478.0
Florida International,2025,-18.0,-2520.0
New Mexico,2025,-18.4,-2576.0
Kennesaw State,2025,-18.9,-2646.0
Akron,2025,-19.3,-2702.0
Charlotte,2025,-19.4,-2716.0
Ball State,2025,-21.2,-2968.0
Massachusetts,2025,-23.9,-3346.0
Kent State,2025,-24.9,-3486.0
